skip,take,totalCount,records
0,100,4522,"{'event': {'startDate': '2023-07-29T10:30:00+02:00', 'endDate': '2023-07-29T12:30:00+02:00'}, 'location': {'decimalLatitude': 62.51379, 'decimalLongitude': 17.83172}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-28T00:00:00+02:00', 'endDate': '2023-07-28T23:59:59+02:00'}, 'location': {'decimalLatitude': 64.03756, 'decimalLongitude': 20.07189}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-24T10:00:00+02:00', 'endDate': '2023-07-24T10:00:00+02:00'}, 'location': {'decimalLatitude': 57.24903, 'decimalLongitude': 14.87411}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-12T00:00:00+02:00', 'endDate': '2023-08-12T23:59:59+02:00'}, 'location': {'decimalLatitude': 60.68085, 'decimalLongitude': 13.70573}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-18T10:25:00+02:00', 'endDate': '2023-08-18T10:25:00+02:00'}, 'location': {'decimalLatitude': 59.65694, 'decimalLongitude': 12.4765}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-25T00:00:00+02:00', 'endDate': '2023-08-25T23:59:59+02:00'}, 'location': {'decimalLatitude': 63.81072, 'decimalLongitude': 20.40583}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-09T00:00:00+02:00', 'endDate': '2023-08-09T23:59:59+02:00'}, 'location': {'decimalLatitude': 56.64395, 'decimalLongitude': 15.32145}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-08-10T00:00:00+02:00', 'endDate': '2023-08-10T23:59:59+02:00'}, 'location': {'decimalLatitude': 58.23199, 'decimalLongitude': 12.00516}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-25T00:00:00+02:00', 'endDate': '2023-06-25T23:59:59+02:00'}, 'location': {'decimalLatitude': 63.83864, 'decimalLongitude': 20.21785}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-15T08:00:00+02:00', 'endDate': '2023-07-15T10:00:00+02:00'}, 'location': {'decimalLatitude': 59.28358, 'decimalLongitude': 14.97348}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
